id;numero;objeto;data_assinatura;data_publicacao;inicio_vigencia;fim_vigencia;valor_total;in_situacao;apto_a_iniciar;versao;adt_login;adt_data_hora;adt_operacao
1;mobile Fish;Home Loan Account Table Computer;2019-10-29;2019-10-29;2019-10-28;2019-10-29;60111;alarm;false;5641;transmitter Implementation Electronics;2019-10-28;Money 
2;Albania web-readines;Namibia;2019-10-29;2019-10-29;2019-10-29;2019-10-29;97375;Multi-channelled Licensed;true;19967;Cambridgeshire Mississippi;2019-10-29;Credit
3;South Dakota envisio;Nakfa;2019-10-29;2019-10-28;2019-10-29;2019-10-29;49517;Games Regional Digitized;true;75536;convergence;2019-10-29;Georgi
4;connect Markets Chie;capacitor archive;2019-10-29;2019-10-29;2019-10-29;2019-10-29;96117;navigating;true;27134;generating compelling;2019-10-29;Faroe 
5;Car Industrial deliv;orange Books;2019-10-28;2019-10-29;2019-10-28;2019-10-28;72900;quantify Unbranded Plastic Tuna Frozen;true;85003;Highway Ergonomic;2019-10-29;Lempir
6;pixel withdrawal;Mississippi embrace Developer;2019-10-28;2019-10-28;2019-10-28;2019-10-29;23598;Networked Sleek Metal Table Small;false;10789;Outdoors;2019-10-28;knowle
7;Concrete Investment ;User-centric;2019-10-29;2019-10-29;2019-10-29;2019-10-28;16122;Web virtual deposit;true;45653;mint green e-business EXE;2019-10-29;Fresh 
8;Profit-focused;Jewelery cutting-edge;2019-10-29;2019-10-29;2019-10-29;2019-10-29;53408;Bedfordshire Bahamian Dollar;false;33761;Directives;2019-10-29;Maurit
9;facilitate Tasty Con;Buckinghamshire capability zero tolerance;2019-10-29;2019-10-29;2019-10-29;2019-10-28;50267;Small Plastic Pants Investor;false;68070;Lebanon;2019-10-29;Domini
10;Ergonomic transmitte;Point Orchestrator;2019-10-29;2019-10-29;2019-10-28;2019-10-29;79834;Gloves Bedfordshire Argentine Peso;true;59089;Algerian Dinar;2019-10-29;Buckin
