id;id_meta_vrpl;tx_descricao;numero;qt_itens;in_social;versao;adt_login;adt_data_hora;adt_operacao
1;11833;methodologies calculating scale;57187;95031;true;20293;Maine;2019-10-28;Chair 
2;58581;Indiana Denar Paradigm;78258;94067;false;25929;eyeballs PCI indexing;2019-10-29;redund
3;48296;Rubber Small circuit;49646;90939;false;78021;Shoes Rustic Concrete Soap Wooden;2019-10-29;Dynami
4;28274;Gorgeous Steel Ball;27571;24697;false;90625;Virtual explicit index;2019-10-29;compre
5;6265;Customer Plastic;53242;31518;false;77185;Unbranded Ameliorated;2019-10-28;Venezu
6;88213;streamline navigating open-source;62442;73082;false;98129;Customizable payment mint green;2019-10-29;Groves
7;60852;e-business Steel Fish;22531;41798;false;8884;Kwacha Macedonia Executive;2019-10-29;innova
8;54883;Checking Account Multi-channelled;84691;48469;false;16577;Branding;2019-10-28;Bermud
9;46229;vortals payment Finland;6227;78697;true;11193;bleeding-edge Associate neural;2019-10-29;end-to
10;87213;Gibraltar;75842;75675;true;51938;yellow;2019-10-28;GB AGP
